,borough,contributing_factor_vehicle_1,contributing_factor_vehicle_2,cross_street_name,date,latitude,longitude,number_of_cyclist_injured,number_of_cyclist_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,off_street_name,on_street_name,time,unique_key,vehicle_type_code1,vehicle_type_code2
12496,BROOKLYN,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,2015-12-14,40.720845600000004,-73.95662970000001,1,0,0,0,BERRY STREET                    ,NORTH 11 STREET                 ,21.75,3353651,PASSENGER VEHICLE,BICYCLE
12497,,Unspecified,Unspecified,F/O 3902 VICTORY BOULEVARD              ,2015-12-14,,,1,0,0,0,,,15.0,3353847,PASSENGER VEHICLE,BICYCLE
12498,MANHATTAN,Traffic Control Disregarded,Passenger Distraction,,2015-12-15,40.722401500000004,-73.9916483,1,0,0,0,STANTON STREET                  ,CHRYSTIE STREET                 ,17.25,3353889,PICK-UP TRUCK,BICYCLE
12499,MANHATTAN,Failure to Yield Right-of-Way,Passenger Distraction,,2015-12-15,40.710176700000005,-74.0011362,1,0,0,0,ROBERT F WAGNER PLACE           ,PEARL STREET                    ,20.75,3353892,PASSENGER VEHICLE,BICYCLE
12500,MANHATTAN,Unspecified,Unspecified,,2015-12-16,40.725432,-73.996771,1,0,0,0,EAST HOUSTON STREET             ,BROADWAY                        ,12.833333333333334,3353923,OTHER,BICYCLE
12501,MANHATTAN,Driver Inattention/Distraction,Passenger Distraction,,2015-12-16,40.755292100000005,-73.9949215,1,0,0,0,WEST 37 STREET                  ,9 AVENUE                        ,3.6666666666666665,3353949,PASSENGER VEHICLE,BICYCLE
12502,MANHATTAN,Driver Inattention/Distraction,Passenger Distraction,,2015-12-16,40.7471531,-73.9854954,1,0,0,0,WEST 32 STREET                  ,5 AVENUE                        ,0.16666666666666666,3353951,SPORT UTILITY / STATION WAGON,BICYCLE
12503,BRONX,Prescription Medication,Unspecified,,2015-12-16,40.8156984,-73.9167701,1,0,0,0,BERGEN AVENUE                   ,EAST 149 STREET                 ,12.516666666666667,3354065,PASSENGER VEHICLE,BICYCLE
12504,,Driver Inattention/Distraction,Passenger Distraction,,2015-12-15,,,1,0,0,0,EXTERIOR STREET                 ,EAST 149 STREET                 ,16.583333333333332,3354077,SPORT UTILITY / STATION WAGON,BICYCLE
12505,BROOKLYN,Unspecified,Unspecified,,2015-12-16,40.6503881,-73.958708,1,0,0,0,FLATBUSH AVENUE                 ,CHURCH AVENUE                   ,14.85,3354203,PASSENGER VEHICLE,BICYCLE
12506,BROOKLYN,Failure to Yield Right-of-Way,Unspecified,,2015-12-16,40.6512655,-74.0039065,1,0,0,0,39 STREET                       ,5 AVENUE                        ,14.666666666666666,3354217,SPORT UTILITY / STATION WAGON,BICYCLE
12507,MANHATTAN,Unspecified,Unspecified,,2014-05-15,40.7297762,-73.9868089,1,0,0,0,EAST 10 STREET                  ,2 AVENUE                        ,14.0,335427,PASSENGER VEHICLE,BICYCLE
12508,BROOKLYN,Driver Inattention/Distraction,,,2015-12-16,40.6811367,-73.9556676,1,0,0,0,FRANKLIN AVENUE                 ,FULTON STREET                   ,18.583333333333332,3354270,PASSENGER VEHICLE,BICYCLE
12509,BROOKLYN,Failure to Keep Right,Outside Car Distraction,,2015-12-15,40.6899325,-73.9814728,1,0,0,0,DEKALB AVENUE                   ,FLATBUSH AVENUE EXTENSION       ,17.916666666666668,3354287,PASSENGER VEHICLE,BICYCLE
